sleep_date,HKCategoryValueSleepAnalysisAsleepCore,HKCategoryValueSleepAnalysisAsleepDeep,HKCategoryValueSleepAnalysisAsleepREM,HKCategoryValueSleepAnalysisAsleepUnspecified,HKCategoryValueSleepAnalysisAwake,HKCategoryValueSleepAnalysisInBed,total_sleep,total_sleep_minutes
2021-07-28,0.0,0.0,0.0,0.0,0.0,7.5152777777777775,0.0,0.0
2021-07-29,0.0,0.0,0.0,0.0,0.0,8.083333333333334,0.0,0.0
2021-07-30,0.0,0.0,0.0,0.0,0.0,8.083333333333334,0.0,0.0
2021-07-31,0.0,0.0,0.0,0.0,0.0,8.08361111111111,0.0,0.0
2021-08-01,0.0,0.0,0.0,0.0,0.0,8.08388888888889,0.0,0.0
2021-08-02,0.0,0.0,0.0,0.0,0.0,8.018888888888888,0.0,0.0
2021-08-03,0.0,0.0,0.0,0.0,0.0,2.653888888888889,0.0,0.0
2021-08-04,0.0,0.0,0.0,0.0,0.0,7.591944444444445,0.0,0.0
2021-08-05,0.0,0.0,0.0,0.0,0.0,8.083333333333334,0.0,0.0
2021-08-06,0.0,0.0,0.0,0.0,0.0,6.459722222222222,0.0,0.0
2021-08-07,0.0,0.0,0.0,0.0,0.0,6.964722222222222,0.0,0.0
2021-08-08,0.0,0.0,0.0,0.0,0.0,7.801388888888888,0.0,0.0
2021-08-09,0.0,0.0,0.0,0.0,0.0,8.08361111111111,0.0,0.0
2021-08-10,0.0,0.0,0.0,0.0,0.0,8.083333333333334,0.0,0.0
2021-08-11,0.0,0.0,0.0,0.0,0.0,7.742222222222222,0.0,0.0
2021-08-12,0.0,0.0,0.0,0.0,0.0,8.031111111111112,0.0,0.0
2021-08-13,0.0,0.0,0.0,0.0,0.0,8.075833333333334,0.0,0.0
2021-08-14,0.0,0.0,0.0,0.0,0.0,8.083333333333334,0.0,0.0
2021-08-15,0.0,0.0,0.0,0.0,0.0,7.789166666666667,0.0,0.0
2021-08-16,0.0,0.0,0.0,0.0,0.0,8.08388888888889,0.0,0.0
2021-08-17,0.0,0.0,0.0,0.0,0.0,7.962222222222222,0.0,0.0
2021-08-18,0.0,0.0,0.0,0.0,0.0,8.038611111111111,0.0,0.0
2021-08-19,0.0,0.0,0.0,0.0,0.0,8.083333333333334,0.0,0.0
2021-08-20,0.0,0.0,0.0,0.0,0.0,8.08388888888889,0.0,0.0
2021-08-21,0.0,0.0,0.0,0.0,0.0,8.083333333333334,0.0,0.0
2021-08-22,0.0,0.0,0.0,0.0,0.0,7.98,0.0,0.0
2021-08-23,0.0,0.0,0.0,0.0,0.0,7.750555555555556,0.0,0.0
2021-08-24,0.0,0.0,0.0,0.0,0.0,7.881388888888889,0.0,0.0
2021-08-25,0.0,0.0,0.0,0.0,0.0,8.083333333333334,0.0,0.0
2021-08-26,0.0,0.0,0.0,0.0,0.0,8.055277777777778,0.0,0.0
2021-08-27,0.0,0.0,0.0,0.0,0.0,8.08361111111111,0.0,0.0
2021-08-28,0.0,0.0,0.0,0.0,0.0,8.083333333333334,0.0,0.0
2021-08-29,0.0,0.0,0.0,0.0,0.0,0.021388888888888888,0.0,0.0
2021-08-30,0.0,0.0,0.0,0.0,0.0,7.870277777777778,0.0,0.0
2021-08-31,0.0,0.0,0.0,0.0,0.0,8.08361111111111,0.0,0.0
2021-09-01,0.0,0.0,0.0,0.0,0.0,5.358888888888889,0.0,0.0
2021-09-02,0.0,0.0,0.0,0.0,0.0,8.08361111111111,0.0,0.0
2021-09-03,0.0,0.0,0.0,0.0,0.0,8.083333333333334,0.0,0.0
2021-09-04,0.0,0.0,0.0,0.0,0.0,7.608611111111111,0.0,0.0
2021-09-05,0.0,0.0,0.0,0.0,0.0,7.968055555555556,0.0,0.0
2021-09-06,0.0,0.0,0.0,0.0,0.0,7.487777777777778,0.0,0.0
2021-09-07,0.0,0.0,0.0,0.0,0.0,8.08388888888889,0.0,0.0
2021-09-08,0.0,0.0,0.0,0.0,0.0,8.083333333333334,0.0,0.0
2021-09-09,0.0,0.0,0.0,0.0,0.0,8.08388888888889,0.0,0.0
2021-09-10,0.0,0.0,0.0,0.0,0.0,8.083333333333334,0.0,0.0
2021-09-11,0.0,0.0,0.0,0.0,0.0,8.00611111111111,0.0,0.0
2021-09-12,0.0,0.0,0.0,0.0,0.0,8.08361111111111,0.0,0.0
2021-09-13,0.0,0.0,0.0,0.0,0.0,8.083333333333334,0.0,0.0
2021-09-14,0.0,0.0,0.0,0.0,0.0,7.439444444444445,0.0,0.0
2021-09-15,0.0,0.0,0.0,0.0,0.0,8.083333333333334,0.0,0.0
2021-09-16,0.0,0.0,0.0,0.0,0.0,7.800833333333333,0.0,0.0
2021-09-17,0.0,0.0,0.0,0.0,0.0,8.083333333333334,0.0,0.0
2021-09-18,0.0,0.0,0.0,0.0,0.0,8.083333333333334,0.0,0.0
2021-09-19,0.0,0.0,0.0,0.0,0.0,8.083333333333334,0.0,0.0
2021-09-20,0.0,0.0,0.0,0.0,0.0,0.020555555555555556,0.0,0.0
2021-09-21,0.0,0.0,0.0,0.0,0.0,8.08388888888889,0.0,0.0
2021-09-22,0.0,0.0,0.0,0.0,0.0,8.08388888888889,0.0,0.0
2021-09-23,0.0,0.0,0.0,0.0,0.0,8.08361111111111,0.0,0.0
2021-09-24,0.0,0.0,0.0,0.0,0.0,7.011111111111111,0.0,0.0
2021-09-25,0.0,0.0,0.0,0.0,0.0,7.506111111111111,0.0,0.0
2021-09-26,0.0,0.0,0.0,0.0,0.0,7.686388888888889,0.0,0.0
2021-09-27,0.0,0.0,0.0,0.0,0.0,8.083333333333334,0.0,0.0
2021-09-28,0.0,0.0,0.0,0.0,0.0,8.08361111111111,0.0,0.0
2021-09-29,0.0,0.0,0.0,0.0,0.0,8.08388888888889,0.0,0.0
2021-09-30,0.0,0.0,0.0,0.0,0.0,7.516944444444444,0.0,0.0
2021-10-01,0.0,0.0,0.0,0.0,0.0,7.591944444444445,0.0,0.0
2021-10-02,0.0,0.0,0.0,0.0,0.0,8.083333333333334,0.0,0.0
2021-10-03,0.0,0.0,0.0,0.0,0.0,8.08388888888889,0.0,0.0
2021-10-04,0.0,0.0,0.0,0.0,0.0,8.083333333333334,0.0,0.0
2021-10-05,0.0,0.0,0.0,0.0,0.0,8.083333333333334,0.0,0.0
2021-10-06,0.0,0.0,0.0,0.0,0.0,8.041944444444445,0.0,0.0
2021-10-07,0.0,0.0,0.0,0.0,0.0,8.083333333333334,0.0,0.0
2021-10-08,0.0,0.0,0.0,0.0,0.0,8.08388888888889,0.0,0.0
2021-10-09,0.0,0.0,0.0,0.0,0.0,8.08361111111111,0.0,0.0
2021-10-10,0.0,0.0,0.0,0.0,0.0,8.083333333333334,0.0,0.0
2021-10-11,0.0,0.0,0.0,0.0,0.0,0.6888888888888889,0.0,0.0
2021-10-12,0.0,0.0,0.0,0.0,0.0,8.083333333333334,0.0,0.0
2021-10-13,0.0,0.0,0.0,0.0,0.0,7.750277777777778,0.0,0.0
2021-10-14,0.0,0.0,0.0,0.0,0.0,8.083333333333334,0.0,0.0
2021-10-15,0.0,0.0,0.0,0.0,0.0,8.08361111111111,0.0,0.0
2021-10-16,0.0,0.0,0.0,0.0,0.0,7.916666666666667,0.0,0.0
2021-10-17,0.0,0.0,0.0,0.0,0.0,7.5119444444444445,0.0,0.0
2021-10-18,0.0,0.0,0.0,0.0,0.0,6.694166666666667,0.0,0.0
2021-10-19,0.0,0.0,0.0,0.0,0.0,8.083333333333334,0.0,0.0
2021-10-20,0.0,0.0,0.0,0.0,0.0,7.981944444444444,0.0,0.0
